"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00086";"2018-05-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-06-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-07-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-08-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-09-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-10-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-11-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-12-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-01-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-02-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-03-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-04-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-05-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-06-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-07-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-08-06";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-09-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-10-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-11-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2019-12-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-01-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-02-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-03-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-04-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-05-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-07-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-08-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-09-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-10-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-11-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2020-12-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-01-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-02-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-03-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-04-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-05-25";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-06-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-07-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-08-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-09-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-10-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-11-23";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2021-12-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-01-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-02-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-03-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-04-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-05-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-06-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-07-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-08-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-09-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-10-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-11-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2018-12-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-01-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-02-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-03-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-04-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-05-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-06-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-07-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-08-06";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-09-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-10-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-11-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2019-12-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-01-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-02-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-03-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-04-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-05-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-06-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-07-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-08-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-09-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-10-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2020-11-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-01-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-02-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-03-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-04-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-05-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-06-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-07-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-08-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-09-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-10-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-11-23";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00087";"2021-12-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-01-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-02-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-03-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-04-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-05-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-06-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00088";"2018-07-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
