Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
MCA;3-Methylcholanthrene;3-methyl-1,2-dihydrobenzo[j]aceanthrylene;/Chemical/Organic/PAH;200-276-4;56-49-5;34342;C21H16 | Methylcholanthrene is a highly carcinogenic polycyclic aromatic hydrocarbon produced by burning organic compounds at very high temperatures. 3-Methylcholanthrene, a known carcinogen which builds up in the prostate due to cholesterol breakdown, is 
MCPA;MCPA;(4-Chloro-2-methylphenoxy)acetic acid;/Chemical/Organic/Pesticide;202-360-6;94-74-6;50099;C9H9ClO3 | A powerful, selective, widely used phenoxy herbicide.
MCPB;2,4-MCPB;4-(4-Chloro-2-methylphenoxy)butanoic acid;/Chemical/Organic/Pesticide;202-365-3;94-81-5;;C11H13ClO3 | A phenoxybutyric herbicide. In the United States it is registered for use on pea crops before flowering, for post-emergence control of broadleaf annual and perennial weeds including Canadian thistle, buttercup, mustard, purslane, ragweed, comm
MCPPACID;Mecoprop;Mecoprop (mixed isomers);/Chemical/Organic/Pesticide;230-386-8;7085-19-0;;C10H11ClO3 | 2-(4-Chloro-2-methylphenoxy)propanoic acid - A common general use herbicide found in many household weed killers and weed-and-feed type lawn fertilizers. It is primarily used to control broadleaf weeds. It is often used in combination with oth
MDCB;Dichlorobenzene;1,3-Dichlorobenzene;/Chemical/Organic/Volatile Organic Compound;208-792-1;541-73-1;36693;"m-Dichlorobenzene; meta-Dichlorobenzene"
MECL;Methylene Dichloride;Dichloromethane;/Chemical/Organic/Volatile Organic Compound;200-838-9;75-09-2;15767;CH2Cl2 | Methylene dichloride (DCM, or methylene chloride, or dichloromethane) is a geminal organic compound. This colorless, volatile liquid with a moderately sweet aroma is widely used as a solvent.
METALAXYL;Metalaxyl;Metalaxyl;/Chemical/Organic/Pesticide;260-979-7;57837-19-1;679;methyl 2-[(2,6-dimethylphenyl)(methoxyacetyl)amino]propanoate | Metalaxyl is an acylalanine fungicide with systemic function. Its chemical name is methyl N-(methoxyacetyl)-N-(2,6-xylyl)-DL-alaninate. It can be used to control Pythium in a number of vegetab
METAMITRON;Triazine;Metamitron;/Chemical/Organic/Pesticide;255-349-3;41394-05-2;6791;4-amino-3-methyl-6-phenyl-1,2,4-triazin-5(4H)-one
METAPHOS;Organothiophosphate;Parathion methyl;/Chemical/Organic/Pesticide;206-050-1;298-00-0;38746;O,O-Dimethyl-O-p-nitrophenylphosphorothioate | Parathion methyl, or methyl parathion, is an organophosphate insecticide, possessing an organothiophosphate group. It is structurally very similar to parathion-ethyl. It is not allowed for sale and import in n
METAZACHLOR;Organochlorine;Metazachlor;/Chemical/Organic/Pesticide;266-583-0;67129-08-2;6798;2-chloro-N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)acetamide
METHABENZTHIAZURON;Benzothiazole;1-(1,3-benzothiazol-2-yl)-1,3-dimethylurea;/Chemical/Organic/Pesticide;242-505-0;18691-97-9;6803;A herbicide used to control a broad spectrum of weeds in cereals and other crops. (source: https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/452.htm)
METHAMIDOPHOS;Organothiophosphate;Methamidophos;/Chemical/Organic/Pesticide;233-606-0;10265-92-6;38721;O,S-Dimethyl phosphoramidothioate | Methamidophos, trade name Monitor, is an organophosphate insecticide. Crops grown with the use of methamidophos include potatoes and some Latin American rice. Many nations have used methamidophos on crops, including deve
METHIDATHION;Organothiophosphate;Methidathion;/Chemical/Organic/Pesticide;213-449-4;950-37-8;34837;"3-(dimethoxyphosphinothioylsulfanylmethyl)-5-methoxy-1,3,4-thiadiazol-2-one | Methidathion is an organophosphate insecticide; its use is banned in the European Union and USA. Methidathion has been used as an insecticide in many countries to control caterpi"
METHIOCARB;Carbamate;Methiocarb;/Chemical/Organic/Pesticide;217-991-2;2032-65-7;38508;3,5-dimethyl-4-(methylsulfanyl)phenyl methylcarbamate - Methiocarb is a carbamate pesticide (an acetylecholinesterase inhibitor) which is used as an insecticide, bird repellent, acaricide and molluscicide since the 1960s. Methiocarb has contact and stomach
METHOMYL;Methomyl;Methomyl;/Chemical/Organic/Pesticide;240-815-0;16752-77-5;6835;C5H10N2O2S | (E,Z)-methyl N-{[(methylamino)carbonyl]oxy}ethanimidothioate | Methomyl is a carbamate insecticide introduced in 1966. It is highly toxic to humans, livestock, pets, and wildlife. The EU and UK imposed a pesticide residue limit of 20 µg/kg for
METHOXYFENOZIDE;Carbohydrazide;Methoxyfenozide;/Chemical/Organic/Pesticide;605-245-2;161050-58-4;38449;N'-tert-butyl-N'-(3,5-dimethylbenzoyl)-3-methoxy-2-methylbenzohydrazide | Methoxyfenozide is a broad-spectrum insecticide. It has a low aqueous solubility and a low volatility. Based on its chemical properties there is a high risk of leaching to groundwate
METHYLBROMIDE;Methyl Bromide;Bromomethane;/Chemical/Organic/Halocarbon;200-813-2;74-83-9;39275;Bromomethane, commonly known as methyl bromide, is an organobromine compound with formula CH3Br. This colorless, odorless, nonflammable gas is produced both industrially and biologically. It has a tetrahedral shape and it is a recognized ozone-depleting ch
METHYLCHLORIDE;Methyl Chloride;Chloromethane;/Chemical/Organic/Halocarbon;200-817-4;74-87-3;36014;Chloromethane, also called methyl chloride, Refrigerant-40, R-40 or HCC 40, is an organic compound with the chemical formula CH3Cl. One of the haloalkanes, it is a colorless, odorless, flammable gas. Methyl chloride is a crucial reagent in industrial chemi
METOBROMURON;Phenylurea;Metobromuron;/Chemical/Organic/Pesticide;221-301-5;3060-89-7;81964;
METOLACHOR;Anniline;Metolachlor;/Chemical/Organic/Pesticide;257-060-8;51218-45-2;6902;(RS)-2-Chloro-N-(2-ethyl-6-methyl-phenyl)-N-(1-methoxypropan-2-yl)acetamide | Metolachlor is an organic compound that is widely used as an herbicide. It is a derivative of aniline and is a member of the chloroacetanilide family of herbicides. It is highly 
METRIBUZIN;Metribuzin;Metribuzin;/Chemical/Organic/Pesticide;244-209-7;21087-64-9;34846;4-Amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one | Metribuzin (4-amino-6-tert-butyl-3-(methylthio)-1,2,4-triazin-5(4H)-one) is an herbicide used both pre- and post-emergence in crops including soy bean, potatoes, tomatoes and sugar cane. It acts b
METSULFURON-METHYL;Sulfonylurea;Metsulfuron-methyl;/Chemical/Organic/Pesticide;616-063-8;74223-64-6;39678;2-{[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)amino]-oxomethyl]sulfamoyl}benzoic acid methyl ester
MEVINPHOS;Organophosphate;Mevinphos;/Chemical/Organic/Pesticide;232-095-1;7786-34-7;38725;2-methoxycarbonyl-1-methylvinyl dimethyl phosphate | Mevinphos is an organophosphate insecticide that acts as an acetylcholinesterase inhibitor to control insects in a wide range of crops. It is most commonly used for the control of chewing and sucking ins
MIREX;Mirex;Mirex;/Chemical/Organic/POP;219-196-6;2385-85-5;34852;1,1a,2,2,3,3a,4,5,5,5a,5b,6-dodecachlorooctahydro-1H-1,3,4-(methanetriyl)cyclobuta[cd]pentalene
MONOLINURON;Phenylurea;1-(4-chlorophenyl)-3-methoxy-3-methylurea;/Chemical/Organic/Pesticide;217-129-5;1746-81-2;81965;Monolinuron is a herbicide that is not widely approved for use in the developed world. It has a low to moderate mammalian oral toxicity. It is highly soluble in water and many organic solvents, and is volatile. Monolinuron has a high leaching potential and
MPXYLS;Xylene;M-P-Xylene;/Chemical/Organic/Volatile Organic Compound;;179601-23-1;27338;Mixture of m- and p-isomers of xylene.
MTBE;Methyl tert-butyl ether;2-Methoxy-2-methylpropane;/Chemical/Organic/Volatile Organic Compound;216-653-1;1634-04-4;27642;Methyl tert-butyl ether (MTBE), also known as tert-butyl methyl ether, is an organic compound with a structural formula (CH3)3COCH3. MTBE is a volatile, flammable, and colorless liquid that is sparingly soluble in water. Primarily used as a fuel additive, 
MUSKXYL;Xylene;Musk Xylene;/Chemical/Organic/Volatile Organic Compound;201-329-4;81-15-2;7732;C12H15N3O6 | 1-tert-Butyl-3,5-dimethyl-2,4,6-trinitrobenzene - It is a synthetic musk fragrance which mimics natural musk. It has been used as a perfume fixative in a wide variety of consumer products, and is still used in some cosmetics and fragrances. Mu
MXCHLOR;Methoxychlor;1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-methoxybenzene);/Chemical/Organic/Pesticide;200-779-9;72-43-5;6842;C16H15Cl3O2
MXYL;Xylene;1,3-Xylene;/Chemical/Organic/Volatile Organic Compound;203-576-3;108-38-3;28488;C8H10 - One of three isomers of of dimethylbenzene known collectively as xylenes. Also known as M-Xylene
MYCLOBUTANIL;Triazole;Myclobutanil;/Chemical/Organic/Pesticide;410-400-0;88671-89-0;75281;2-(4-Chlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)hexanenitrile | Myclobutanil is a triazole chemical used as a fungicide. It is a steroid demethylation inhibitor, specifically inhibiting ergosterol biosynthesis.
Mg-Dis;Magnesium;Magnesium - Dissolved;/Chemical/Inorganic/Metal;231-104-6;7439-95-4;25107;Magnesium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Mg-Ext;Magnesium;Magnesium - Extractable;/Chemical/Inorganic/Metal;231-104-6;7439-95-4;25107;Magnesium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Mg-Sus;Magnesium;Magnesium - Suspended;/Chemical/Inorganic/Metal;231-104-6;7439-95-4;25107;Magnesium fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Mg-Tot;Magnesium;Magnesium - Total;/Chemical/Inorganic/Metal;231-104-6;7439-95-4;25107;Magnesium fraction in an unfiltered sample after vigorous digestion.
Mn-Dis;Manganese;Manganese - Dissolved;/Chemical/Inorganic/Metal;231-105-1;7439-96-5;18291;Manganese fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Mn-Ext;Manganese;Manganese - Extractable;/Chemical/Inorganic/Metal;231-105-1;7439-96-5;18291;Manganese fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Mn-Tot;Manganese;Manganese - Total;/Chemical/Inorganic/Metal;231-105-1;7439-96-5;18291;Manganese fraction in an unfiltered sample after vigorous digestion.
Mo-Dis;Molybdenum;Molybdenum - Dissolved;/Chemical/Inorganic/Metal;231-107-2;7439-98-7;28685;Molybdenum fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Mo-Ext;Molybdenum;Molybdenum - Extractable;/Chemical/Inorganic/Metal;231-107-2;7439-98-7;28685;Molybdenum fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Mo-Tot;Molybdenum;Molybdenum - Total;/Chemical/Inorganic/Metal;231-107-2;7439-98-7;28685;Molybdenum fraction in an unfiltered sample after vigorous digestion.
NAPHTHOL;1-Naphthol;Naphthalen-1-ol;/Chemical/Organic/PAH;201-969-4;90-15-3;10319;C10H7OH | 1-Naphthol, or alpha-naphthol, is a fluorescent organic compound. It is a white solid. It is an isomer of 2-naphthol differing by the location of the hydroxyl group on the naphthalene ring. The naphthols are naphthalene homologues of phenol, with
NAPROPAMIDE;Naphtalene;Napropamide;/Chemical/Organic/Pesticide;239-333-3;15299-99-7;83771;N,N-diethyl-2-(naphthalen-1-yloxy)propanamide | a monocarboxylic acid amide that is propanamide substituted by two ethyl groups at the nitrogen atom and a naphthalen-1-yloxy group at position 2. It is an aromatic ether, a monocarboxylic acid amide and a me
NAPROXEN;Anti-Inflammatory Drug;Naproxen;/Chemical/Organic/Pharmaceuticals;244-838-7;22204-53-1;7476;(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid - Naproxen, sold under the brand name Aleve among others, is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain, menstrual cramps, inflammatory diseases such as rheumatoid arthritis, gout and fe
NDMA;Nitroamine;N-Nitrosodimethylamine;/Chemical/Organic/Volatile Organic Compound;200-549-8;62-75-9;35807;NDMA can be produced by water treatment by chlorination or chloramination. NDMA has attracted wide attention as being highly hepatotoxic and a known carcinogen in laboratory animals.
NDPA;Nitroamine;N-Nitrosodi-N-Propylamine;/Chemical/Organic/Volatile Organic Compound;210-698-0;621-64-7;82358;Nitrosodipropylamine is found as a contaminant in cheese, alcoholic beverages, rubber products and certain herbicides. This substance is solely used for research purposes to induce tumors in experimental animals. Nitrosodipropylamine is reasonably anticipa
NDPHA;Nitroamine;N-Nitrosodiphenylamin;/Chemical/Organic/Volatile Organic Compound;201-663-0;86-30-6;34875;n-Nitrosodiphenylamine is used to make rubber products such as tires or to make other chemicals. According to the classification provided by companies to ECHA in REACH registrations this substance is very toxic to aquatic life with long lasting effects, is
NH3N;Ammonia;Free Ammonia Nitrogen;/Chemical/Nutrient/Nitrogen;231-635-3;7664-41-7;16134;Un-ionized ammonia (NH3), reported as Nitrogen. Unionized Ammonia is toxic to aquatic life, since it cannot be excreted sufficiently by aquatic organisms and therefore builds up in blood and tissues, eventually achieving lethal doses.
NH4N;Ammonia;Total Ammonium Nitrogen;/Chemical/Nutrient/Nitrogen;231-635-3;14798-03-9;28938;Combined un-ionized and ionized Ammonia (NH3 + NH4+), reported as Nitrogen. Ammonium (NH4+) is not toxic by itself, as compared to the un-ionized Ammonia (NH3), however, in aqueous solutions Ammonium and Ammonia form an equilibrium, which is mainly determi
NICOSULFURON;Sulfonylurea;Nicosulfuron;/Chemical/Organic/Pesticide;;111991-09-4;7554;2-{[(4,6-dimethoxypyrimidin-2-yl)carbamoyl]sulfamoyl}-N,N-dimethylpyridine-3-carboxamide
NITROBENZENE;Nitrobenzene;Nitrobenzene;/Chemical/Organic/Phenyl;202-716-0;98-95-3;27798;Nitrobenzene is an organic compound with the chemical formula C6H5NO2. It is a water-insoluble pale yellow oil with an almond-like odor. It freezes to give greenish-yellow crystals. It is produced on a large scale from benzene as a precursor to aniline. In
NO2N;Oxidized Nitrogen;Nitrite;/Chemical/Nutrient/Nitrogen;233-272-6;14797-65-0;16301;Reported as nitrogen.
NO3N;Oxidized Nitrogen;Nitrate;/Chemical/Nutrient/Nitrogen;231-554-3;14797-55-8;17632;Reported as nitrogen.
NOxN;Oxidized Nitrogen;Nitrate and Nitrite;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Nitrate nitrogen and nitrite nitrogen fractions in unfiltered samples. Reported as nitrogen.
NPTH;Naphtalene;Naphthalene;/Chemical/Organic/PAH;202-049-5;91-20-3;16482;C10H8
Na-Dis;Sodium;Sodium - Dissolved;/Chemical/Inorganic/Metal;231-132-9;7440-23-5;26708;Sodium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Na-Ext;Sodium;Sodium - Extractable;/Chemical/Inorganic/Metal;231-132-9;7440-23-5;26708;Sodium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Na-Tot;Sodium;Sodium - Total;/Chemical/Inorganic/Metal;231-132-9;7440-23-5;26708;Sodium fraction in an unfiltered sample after vigorous digestion.
Nb-Dis;Niobium;Niobium - Dissolved;/Chemical/Inorganic/Metal;231-113-5;7440-03-1;33344;Niobium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Nb-Ext;Niobium;Niobium - Extractable;/Chemical/Inorganic/Metal;231-113-5;7440-03-1;33344;Niobium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Nb-Tot;Niobium;Niobium - Total;/Chemical/Inorganic/Metal;231-113-5;7440-03-1;33344;Niobium fraction in an unfiltered sample after vigorous digestion.
Ni-Dis;Nickel;Nickel - Dissolved;/Chemical/Inorganic/Metal;231-111-4;7440-02-0;28112;Nickel fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ni-Ext;Nickel;Nickel - Extractable;/Chemical/Inorganic/Metal;231-111-4;7440-02-0;28112;Nickel fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ni-Sus;Nickel;Nickel - Suspended;/Chemical/Inorganic/Metal;231-111-4;7440-02-0;28112;Nickel fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Ni-Tot;Nickel;Nickel - Total;/Chemical/Inorganic/Metal;231-111-4;7440-02-0;28112;Nickel fraction in an unfiltered sample after vigorous digestion.
O2-Dis;Oxygen;Dissolved Oxygen;/Chemical/Inorganic/Dissolved Gas;231-956-9;7782-44-7;15379;Concentration of molecular oxygen dissolved in water.
O2-Dis-Sat;Oxygen;Percent Dissolved Oxygen Saturation;/Chemical/Inorganic/Dissolved Gas;231-956-9;7782-44-7;15379;Ratio of the concentration of dissolved oxygen (O2) in water to the maximum amount of oxygen that will dissolve in water at the given temperature and pressure under stable equilibrium.
ODCB;Dichlorobenzene;1,2-Dichlorobenzene;/Chemical/Organic/Volatile Organic Compound;202-425-9;95-50-1;3529;"o-Dichlorobenzene; ortho-Dichlorobenzene"
OG;Oil and Grease;Oil and Grease;/Chemical/Organic;;;;Groups of substances with similar physical characteristics, determined quantitatively on the basis of their common solubility in an organic extracting solvent, defined as any material recovered as a substance soluble in the solvent.
OH;Hydroxide;Hydroxide;/Chemical/Inorganic/Non-Metal;;14280-30-9;16234;One of the simplest diatomic ions known. It is an important but usually minor constituent of water. It functions as a base, a ligand, a nucleophile, and a catalyst. The hydroxide ion forms salts, some of which dissociate in aqueous solution, liberating sol
OMETHOATE;Organothiophosphate;Omethoate;/Chemical/Organic/Pesticide;214-197-8;1113-02-6;3873;O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorothioate - An insecticide and acaricide to control a wide range of pests on fruit, hops and other crops. Also a pesticide transformation product. (source: https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/49
ONCB;Nitrochlorobenzene;1-Chloro-2-nitrobenzene;/Chemical/Organic;201-854-9;88-73-3;3427;C6H4ClNO2 | 2-Nitrochlorobenzene is not valuable in itself but is a precursor to other useful compounds. The compound is particularly useful because both of its reactive sites can be utilized to create further compounds that are mutually ortho. Its derivat
OXAMYL;Oxamyl;Oxamyl;/Chemical/Organic/Pesticide;245-445-3;23135-22-0;38539;Methyl 2-(dimethylamino)-N-[(methylcarbamoyl)oxy]-2-oxoethanimidothioate | Oxamyl is a chemical used as a pesticide that comes in two forms: granulated and liquid. The granulated form has been banned in the United States. It is commonly sold under the trad
OXYL;Xylene;1,2-Xylene;/Chemical/Organic/Volatile Organic Compound;202-422-2;95-47-6;28063;C8H10 - One of three isomers of of dimethylbenzene known collectively as xylenes. Also known as O-Xylene
OctaBDE;PBDE;Octabromodiphenylether;/Chemical/Organic/POP;251-087-9;32536-52-0;;C12HBr8O | Octabromodiphenyl ether (octaBDE, octa-BDE, OBDE, octa, octabromodiphenyl oxide, OBDPO) is a brominated flame retardant which belongs to the group of polybrominated diphenyl ethers (PBDEs). OctaBDE is released by different processes into the env
PAH;Polyaromatic Hydrocarbons;Polycyclic Aromatic Hydrocarbons;/Chemical/Organic/PAH;;;33666;Organic compounds containing only carbon and hydrogen that are composed of multiple aromatic rings.
PARATHION;Organothiophosphate;Parathion ethyl;/Chemical/Organic/Pesticide;200-271-7;56-38-2;27928;O,O-Diethyl O-(4-nitrophenyl) phosphorothioate | Parathion, also called parathion-ethyl or diethyl parathion and locally known as Folidol, is an organophosphate insecticide and acaricide. It was originally developed by IG Farben in the 1940s. It is highly 
PBDE-Sum;PBDE;Sum of Polybrominated Diphenyl Ethers;/Chemical/Organic/POP;;;;Polybrominated diphenyl ethers or PBDEs, are organobromine compounds that are used as flame retardant. Like other brominated flame retardants, PBDEs have been used in a wide array of products, including building materials, electronics, furnishings, motor v
PCB;PCB;Polychlorinated Biphenyls;/Chemical/Organic/POP;215-648-1;1336-36-3;53156;C12H10-XClX | Polychlorinated biphenyls (PCBs) are highly carcinogenic chemical compounds, formerly used in industrial and consumer products, whose production was banned in the United States by the Toxic Substances Control Act in 1979 and internationally b
PCB-101;PCB;2,2',4,5,5'-Pentachlorobiphenyl;/Chemical/Organic/POP;621-393-0;37680-73-2;;1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene - 2,2',4,5,5'-Pentachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufactured as
PCB-118;PCB;2,3',4,4',5-Pentachlorobiphenyl;/Chemical/Organic/POP;621-375-2;31508-00-6;8152;1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene~r~n - 2,3',4,4',5-Pentachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufacture
PCB-138;PCB;2,2',3,4,4',5'-Hexachlorobiphenyl;/Chemical/Organic/POP;621-377-3;35065-28-2;165219;1,2,3-trichloro-4-(2,4,5-trichlorophenyl)benzene - 2,2',3,4,4',5'-Hexachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufactur
PCB-153;PCB;2,2',4,4',5,5'-Hexachlorobiphenyl;/Chemical/Organic/POP;621-381-5;35065-27-1;34202;2,2',4,4',5,5'-hexachloro-1,1'-biphenyl - 2,2',4,4',5,5'-Hexachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufactured as com
PCB-180;PCB;2,2',3,4,4',5,5'-Heptachlorobiphenyl;/Chemical/Organic/POP;621-378-9;35065-29-3;16522;1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene - 2,2',3,4,4',5,5'-Heptachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were man
PCB-194;PCB;2,2',3,3',4,4',5,5'-Octachlorobiphenyl;/Chemical/Organic/POP;621-527-8;35694-08-7;;1,2,3,4-tetrachloro-5-(2,3,4,5-tetrachlorophenyl)benzene~r~n - 2,2',3,3',4,4',5,5'-Octachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. The
PCB-28;PCB;2,4,4'-Trichlorobiphenyl;/Chemical/Organic/POP;230-293-2;7012-37-5;;2,4-dichloro-1-(4-chlorophenyl)benzene - 2,4,4'-Trichlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufactured as commercial mi
PCB-52;PCB;2,2',5,5'-Tetrachlorobiphenyl;/Chemical/Organic/POP;621-615-6;35693-99-3;34206;2,2',5,5'-tetrachloro-1,1'-biphenyl - 2,2',5,5'-Tetrachlorobiphenyl is one of 209 polychlorinated biphenyl (PCB) congeners. PCBs are a group of synthetic organic compounds with 1-10 chlorine atoms attached to biphenyl. They were manufactured as commercial 
PCE;Chloroethenes;Tetrachloroethene;/Chemical/Organic/Volatile Organic Compound;204-825-9;127-18-4;173;C2Cl4 | Also known as Tetrachloroethylene. An excellent solvent for organic materials. Otherwise it is volatile, highly stable, and nonflammable. For these reasons, it is widely used in dry cleaning. It is also used to degrease metal parts in the automotiv
PCN;PCN;Polychlorinated Naphthalenes;/Chemical/Organic/POP;274-864-4;70776-03-3;;C10H8-(m+n)Cl(m+n) | According to the classification provided by companies to ECHA in CLP notifications this substance may cause long lasting harmful effects to aquatic life.
PCP;PCP;Pentachlorophenol;/Chemical/Organic/POP;201-778-6;87-86-5;17642;C6HCl5O
PDCB;Dichlorobenzene;1,4-Dichlorobenzene;/Chemical/Organic/Volatile Organic Compound;203-400-5;106-46-7;28618;"p-Dichlorobenzene; para-Dichlorobenzene"
PECBZ;Pentachlorobenzene;Pentachlorobenzene;/Chemical/Organic/POP;210-172-0;608-93-5;47136;C6HCl5 | Used as intermediate in the manufacture of pesticides, particularly the fungizide pentachloronitrobenzene. Pentachlorobenzene is a known persistent organic pollutants (POP), classified among the dirty dozen and banned globally by the Stockholm Con
PECNBZ;Pentachloronitrobenzene;1,2,3,4,5-Pentachloro-6-nitrobenzene;/Chemical/Organic/Pesticide;201-435-0;82-68-8;34908;C6Cl5NO2 | Also known as Quintocene, is a registered fungicide formally derived from nitrobenzene. It is used as a fungicide to suppress the growth of fungi in various crops, such as cotton, rice, and seed grains. It is also used to prevent the formation o
PENDIMETHALIN;Dinitroaniline;Pendimethalin;/Chemical/Organic/Pesticide;254-938-2;40487-42-1;83569;3,4-Dimethyl-2,6-dinitro-N-pentan-3-yl-aniline | Pendimethalin is an herbicide of the dinitroaniline class used in premergence and postemergence applications to control annual grasses and certain broadleaf weeds. It inhibits cell division and cell elongati
PERMETHRIN;Pyrethroid ester;Permethrin;/Chemical/Organic/Pesticide;258-067-9;52645-53-1;34911;3-phenoxybenzyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate | An insecticide active against a wide range of pests including Lepidoptera and Coleoptera in crops and various animal ectoparasites.~r~n~r~n(source: https://sitem.herts.ac.uk/aeru
PFOA;PFOA;Perfluorooctanoic acid;/Chemical/Organic/POP;206-397-9;335-67-1;35549;Perfluorooctanoic acid (PFOA), also known as C8 and perfluorooctanoate, is a synthetic, stable perfluorinated carboxylic acid and fluorosurfactant. One industrial application is as a surfactant in the emulsion polymerization of fluoropolymers. It has been 
PFOS;PFOS;Perfluorooctane sulfonic acid;/Chemical/Organic/POP;217-179-8;1763-23-1;;C8HF17O3S | 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid - It is an anthropogenic fluorosurfactant and global pollutant. PFOS levels that have been detected in wildlife are considered high enough to affect health parameters.
PHLH;Phenol;Phenole;/Chemical/Organic/Phenyl;203-632-7;108-95-2;15882;C6H5OH | An important industrial commodity as a precursor to many materials and useful compounds. It is primarily used to synthesize plastics and related materials. Phenol and its chemical derivatives are essential for production of polycarbonates, epoxies
PHLHs;Phenol;Phenols;/Chemical/Organic/Phenyl;265-208-8;64743-03-9;33853;A class of chemical compounds consisting of a hydroxyl group (-OH) attached to an aromatic hydrocarbon group.
PHNH;Phenanthrene;Phenanthracene;/Chemical/Organic/PAH;201-581-5;85-01-8;28851;C14H10
PHORATE;Organothiophosphate;Phorate;/Chemical/Organic/Pesticide;206-052-2;298-02-2;38764;O,O-Diethyl S-[(ethylsulfanyl)methyl] phosphorodithioate
PHOSALONE;Phosalone;6-chloro-3-(diethoxyphosphinothioylsulfanylmethyl)-1,3-benzoxazol-2-one;/Chemical/Organic/Pesticide;218-996-2;2310-17-0;8121;C12H15ClNO4PS2
PHOSMET;Phosmet;2-(Dimethoxyphosphinothioylthiomethyl)isoindoline-1,3-dione;/Chemical/Organic/Pesticide;211-987-4;732-11-6;38786;2-(Dimethoxyphosphinothioylthiomethyl)isoindoline-1,3-dione
PICLORAM;Picloram;Picloram;/Chemical/Organic/Pesticide;217-636-1;1918-02-1;34922;4-Amino-3,5,6-trichloro-2-pyridinecarboxylic acid | Picloram is a systemic herbicide used for general woody plant control. It also controls a wide range of broad-leaved weeds, but most grasses are resistant. A chlorinated derivative of picolinic acid, picl
PICOLINAFEN;Picolinafen;Picolinafen;/Chemical/Organic/Pesticide;;137641-05-5;138736;N-(4-fluorophenyl)-6-[3-(trifluoromethyl)phenoxy]pyridine-2-carboxamide - A post-emergence cereal herbicide used to control broad-leaved weeds in some cereals (source: https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/526.htm)
PIRIMICARB;Pirimicarb;Pirimicarb;/Chemical/Organic/Pesticide;245-430-1;23103-98-2;8248;C11H18N4O2 | (2-Dimethylamino-5,6-dimethylpyrimidin-4-yl) N,N-dimethylcarbamate | Pirimicarb is a selective carbamate insecticide used to control aphids on vegetable, cereal and orchard crops by inhibiting acetylcholinesterase activity but does not affect 
