Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
Ti-Dis;Titanium;Titanium - Dissolved;/Chemical/Inorganic/Metal;231-142-3;7440-32-6;33341;Titanium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ti-Ext;Titanium;Titanium - Extractable;/Chemical/Inorganic/Metal;231-142-3;7440-32-6;33341;Titanium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ti-Tot;Titanium;Titanium - Total;/Chemical/Inorganic/Metal;231-142-3;7440-32-6;33341;Titanium fraction in an unfiltered sample after vigorous digestion.
Tl-Dis;Thallium;Thallium - Dissolved;/Chemical/Inorganic/Metal;231-138-1;7440-28-0;3044;Thallium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Tl-Tot;Thallium;Thallium - Total;/Chemical/Inorganic/Metal;231-138-1;7440-28-0;3044;Thallium fraction in an unfiltered sample after vigorous digestion.
U-Dis;Uranium;Uranium - Dissolved;/Chemical/Inorganic/Metal;231-170-6;7440-61-1;27214;Uranium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
U-Ext;Uranium;Uranium - Extractable;/Chemical/Inorganic/Metal;231-170-6;7440-61-1;27214;Uranium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
U-Tot;Uranium;Uranium - Total;/Chemical/Inorganic/Metal;231-170-6;7440-61-1;27214;Uranium fraction in an unfiltered sample after vigorous digestion.
V-Dis;Vanadium;Vanadium - Dissolved;/Chemical/Inorganic/Metal;231-171-1;7440-62-2;27698;Vanadium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
V-Ext;Vanadium;Vanadium - Extractable;/Chemical/Inorganic/Metal;231-171-1;7440-62-2;27698;Vanadium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
V-Tot;Vanadium;Vanadium - Total;/Chemical/Inorganic/Metal;231-171-1;7440-62-2;27698;Vanadium fraction in an unfiltered sample after vigorous digestion.
VCM;Vinyl chloride;Chloroethene;/Chemical/Organic/Volatile Organic Compound;200-831-0;75-01-4;28509;C2H3Cl | A gas with a sweet odor. It is highly toxic, flammable, and carcinogenic. It can be formed in the environment when soil organisms break down chlorinated solvents. Vinyl chloride that is released by industries or formed by the breakdown of other ch
VDS;Dissolved Solids;Volatile Dissolved Solids;/Physical/Water/Solids;;;;Weight loss of total dissolved solid fraction on ignition.
VS;Total Solids;Volatile Solids;/Physical/Water/Solids;;;;Weight loss of total solids on ignition.
VSS;Suspended Solids;Volatile Suspended Solids;/Physical/Water/Solids;;;;Weight loss of total suspended solid fraction on ignition.
W-Dis;Tungsten;Tungsten - Dissolved;/Chemical/Inorganic/Metal;231-143-9;7440-33-7;27998;Tungsten fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
W-Ext;Tungsten;Tungsten - Extractable;/Chemical/Inorganic/Metal;231-143-9;7440-33-7;27998;Tungsten fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
W-Tot;Tungsten;Tungsten - Total;/Chemical/Inorganic/Metal;231-143-9;7440-33-7;27998;Tungsten fraction in an unfiltered sample after vigorous digestion.
XYLTOT;Xylene;Sum of Xylenes;/Chemical/Organic/Volatile Organic Compound;215-535-7;1330-20-7;27338;Sum of the three xylene isomers o-xylene, m-xylene and p-xylene.
Y-Dis;Yttrium;Yttrium - Dissolved;/Chemical/Inorganic/Metal;231-174-8;7440-65-5;33331;Yttrium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Y-Ext;Yttrium;Yttrium - Extractable;/Chemical/Inorganic/Metal;231-174-8;7440-65-5;33331;Yttrium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Y-Tot;Yttrium;Yttrium - Total;/Chemical/Inorganic/Metal;231-174-8;7440-65-5;33331;Yttrium fraction in an unfiltered sample after vigorous digestion.
Zn-Dis;Zinc;Zinc - Dissolved;/Chemical/Inorganic/Metal;231-175-3;7440-66-6;27363;Zinc fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Zn-Ext;Zinc;Zinc - Extractable;/Chemical/Inorganic/Metal;231-175-3;7440-66-6;27363;Zinc fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Zn-Sus;Zinc;Zinc - Suspended;/Chemical/Inorganic/Metal;231-175-3;7440-66-6;27363;Zinc fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Zn-Tot;Zinc;Zinc - Total;/Chemical/Inorganic/Metal;231-175-3;7440-66-6;27363;Zinc fraction in an unfiltered sample after vigorous digestion.
cis-DCE;Chloroethene;cis-1,2-Dichloroethene;/Chemical/Organic/Halocarbon;205-859-7;156-59-2;28805;C2H2Cl2 | Cis-isomer of Acetylene Dichloride.
pH;pH;pH;/Chemical/Inorganic/Bulk Property;;;;The negative logarithm of the hydrogen ion concentration, a measure of acidity or alkalinity of water soluble substances.
trans-DCE;Chloroethene;trans-1,2-Dichloroethene;/Chemical/Organic/Halocarbon;205-860-2;156-60-5;29027;C2H2Cl2 | Trans-isomer of Acetylene Dichloride.
